,portfolio_n,asset,price_bop,price_eop,proportion,returns
0,1,ALPACABTC,0.00001566,0.00001567,0.01467608483556244,
1,1,MDXBTC,0.00002289,0.00002285,0.25236664887301913,
2,1,CAKEBTC,0.00033130,0.00033090,0.0187619208448772,
3,1,REEFBTC,0.00000040,0.00000039,0.29033552653815,
4,1,GOBTC,0.00000056,0.00000056,0.018617221834373143,
5,1,NASBTC,0.00000670,0.00000660,0.04745603229721585,
6,1,QLCBTC,0.00000058,0.00000057,0.019076614928094697,
7,1,XVGBTC,0.00000042,0.00000041,0.28995620176314046,
8,1,FUNBTC,0.00000036,0.00000035,0.011296049236395772,
9,1,QTUMBTC,0.00021720,0.00021730,0.03745769884917142,
10,2,ALPACABTC,0.00001570,0.00001553,0.01467608483556244,
11,2,MDXBTC,0.00002294,0.00002252,0.0024200760248856736,
12,2,CAKEBTC,0.00033230,0.00033130,0.0187619208448772,
13,2,REEFBTC,0.00000040,0.00000038,0.06386161013963697,
14,2,GOBTC,0.00000057,0.00000055,0.018617221834373143,
15,2,NASBTC,0.00000670,0.00000650,0.0003236970245204398,
16,2,QLCBTC,0.00000058,0.00000055,0.013083931613952547,
17,2,XVGBTC,0.00000042,0.00000041,0.07376431392448099,
18,2,FUNBTC,0.00000036,0.00000034,0.02665152783171213,
19,2,QTUMBTC,0.00021850,0.00021460,0.03745769884917142,
20,2,C98BTC,0.00006158,0.00005957,0.003916862729248336,
21,2,LINABTC,0.00000087,0.00000084,0.16166911339894063,
22,2,STMXBTC,0.00000054,0.00000052,0.02407545539283763,
23,2,TCTBTC,0.00000054,0.00000052,0.06697290998784419,
24,2,PHBBTC,0.00000017,0.00000016,0.21610497652912075,
25,2,QKCBTC,0.00000055,0.00000051,0.13410053887540463,
26,2,CNDBTC,0.00000028,0.00000027,0.006087293903198116,
27,2,VIBBTC,0.00000093,0.00000091,0.027435592556415835,
28,2,MTHBTC,0.00000070,0.00000067,0.1795321000678012,
29,3,ALPACABTC,0.00001546,0.00001538,0.01467608483556244,
30,3,MDXBTC,0.00002259,0.00002231,0.07417759147665197,
31,3,CAKEBTC,0.00032920,0.00033020,0.0187619208448772,
32,3,REEFBTC,0.00000039,0.00000038,0.038668714583901094,
33,3,GOBTC,0.00000056,0.00000054,0.018617221834373143,
34,3,NASBTC,0.00000660,0.00000670,0.011686839157291259,
35,3,QLCBTC,0.00000057,0.00000056,0.0010864507220921477,
36,3,XVGBTC,0.00000042,0.00000041,0.000543607868470332,
37,3,FUNBTC,0.00000035,0.00000034,0.005291343939877005,
38,3,QTUMBTC,0.00021400,0.00021300,0.009651231770514364,
39,3,C98BTC,0.00005893,0.00005927,0.012579875211506376,
40,3,LINABTC,0.00000084,0.00000083,0.16166911339894063,
41,3,STMXBTC,0.00000053,0.00000052,0.04794208724412153,
42,3,TCTBTC,0.00000052,0.00000051,0.021928913005627725,
43,3,PHBBTC,0.00000017,0.00000016,0.07085956322599055,
44,3,QKCBTC,0.00000053,0.00000052,0.05982342843941088,
45,3,CNDBTC,0.00000028,0.00000027,0.03409561770272391,
46,3,VIBBTC,0.00000092,0.00000091,0.027435592556415835,
47,3,MTHBTC,0.00000067,0.00000067,0.037798080300236334,
48,3,BAKEBTC,0.00003482,0.00003449,0.006903214451160382,
49,3,CKBBTC,0.00000026,0.00000025,0.06834702018394137,
50,3,CELOBTC,0.00009681,0.00009624,0.05061674180014898,
51,3,VIDTBTC,0.00001679,0.00001661,0.07091833991205303,
52,3,AVAXBTC,0.00094420,0.00093820,0.013064515696405724,
53,3,LUNABTC,0.00061860,0.00061780,0.06964549516342883,
54,3,SANDBTC,0.00001238,0.00001235,0.013557976492424142,
55,3,SRMBTC,0.00012720,0.00012540,0.004004035999745273,
56,3,DGBBTC,0.00000081,0.00000080,0.015990136861072875,
57,3,COSBTC,0.00000038,0.00000037,0.059554756271711785,
58,3,PIVXBTC,0.00001277,0.00001279,0.039962299215117486,
59,3,MANABTC,0.00001268,0.00001260,0.05596696370322257,
60,3,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
61,3,TRXBTC,0.00000164,0.00000161,0.06546436770923576,
62,3,IOTABTC,0.00002164,0.00002159,0.002182430244394029,
63,4,ALPACABTC,0.00001554,0.00001548,0.021894965586474243,
64,4,MDXBTC,0.00002224,0.00002223,0.050513716330322284,
65,4,CAKEBTC,0.00032960,0.00032840,0.0187619208448772,
66,4,REEFBTC,0.00000039,0.00000038,0.038668714583901094,
67,4,GOBTC,0.00000056,0.00000054,0.050846051368365695,
68,4,NASBTC,0.00000680,0.00000680,0.030751496303825388,
69,4,QLCBTC,0.00000057,0.00000055,0.01578170563567765,
70,4,XVGBTC,0.00000042,0.00000041,0.00449513830264315,
71,4,FUNBTC,0.00000035,0.00000035,0.007712068735585127,
72,4,QTUMBTC,0.00021230,0.00021230,0.009651231770514364,
73,4,C98BTC,0.00005895,0.00005881,0.012579875211506376,
74,4,LINABTC,0.00000084,0.00000083,0.16166911339894063,
75,4,STMXBTC,0.00000052,0.00000051,0.04794208724412153,
76,4,TCTBTC,0.00000053,0.00000052,0.06297738171650474,
77,4,PHBBTC,0.00000017,0.00000016,0.0923570468102087,
78,4,QKCBTC,0.00000053,0.00000052,0.0928694028863298,
79,4,CNDBTC,0.00000028,0.00000027,0.013929400165751088,
80,4,VIBBTC,0.00000092,0.00000092,0.09744614901499796,
81,4,MTHBTC,0.00000068,0.00000065,0.032408284495471756,
82,4,BAKEBTC,0.00003443,0.00003422,0.006903214451160382,
83,4,CKBBTC,0.00000026,0.00000025,0.036603872751600264,
84,4,CELOBTC,0.00009576,0.00009586,0.034754844969084465,
85,4,VIDTBTC,0.00001668,0.00001648,0.07091833991205303,
86,4,AVAXBTC,0.00093740,0.00093010,0.013064515696405724,
87,4,LUNABTC,0.00061410,0.00061590,0.06434813091561983,
88,4,SANDBTC,0.00001227,0.00001225,0.010885152275401528,
89,4,SRMBTC,0.00012510,0.00012490,0.004004035999745273,
90,4,DGBBTC,0.00000081,0.00000080,0.010958034576135929,
91,4,COSBTC,0.00000037,0.00000036,0.059554756271711785,
92,4,PIVXBTC,0.00001304,0.00001288,0.039962299215117486,
93,4,MANABTC,0.00001257,0.00001256,0.05596696370322257,
94,4,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
95,4,TRXBTC,0.00000162,0.00000161,0.06546436770923576,
96,4,IOTABTC,0.00002150,0.00002140,0.002182430244394029,
97,4,AKROBTC,0.00000050,0.00000049,0.009208756696716312,
98,4,IDEXBTC,0.00000520,0.00000508,0.10439326043263643,
99,4,FTTBTC,0.00094420,0.00094220,0.0053536197021954125,
100,4,XTZBTC,0.00011478,0.00011496,0.008356461754743463,
101,4,ATOMBTC,0.00054950,0.00055010,0.009064454509675399,
